date,count
2020-05-05,14669
2020-05-06,14690
2020-05-07,14701
2020-05-08,14959
2020-05-09,15182
2020-05-10,15187
2020-05-11,15198
2020-05-12,15339
2020-05-13,15471
2020-05-14,15488
2020-05-15,15498
2020-05-16,15630
2020-05-17,15634
2020-05-18,15664
2020-05-19,15694
2020-05-20,15863
2020-05-21,16087
2020-05-22,16215
2020-05-23,16219
2020-05-24,16219
2020-05-25,16235
2020-05-26,16248
2020-05-27,16277
2020-05-28,16445
2020-05-29,16498
2020-05-30,16638
2020-05-31,16638
2020-06-01,16693
2020-06-02,16760
2020-06-03,16817
2020-06-04,17048
2020-06-05,17166
